,SRX5961261,SRX3266939
STM0274A,3,0
STM0275,6,2
STM0276,13,0
STM0277,5,0
STM0278,10,3
STM0279,6,0
STM0280,3,3
STM0281,22,5
STM0282,21,10
STM0283,8,0
STM0284,1,0
STM0285,218,26
STM0286,16,10
STM0287,9,0
STM0288,1,3
STM0289,61,25
STM0290,31,0
STM0291,56,20
STM0292,54,11
STM0293,65,8
STM0294,17,27
STM0295,6,0
STM0296,5,4
safA,12,13
safB,11,0
safC,67,25
safD,32,7
ybeJ,49,21
sinR,70,5
STM0305,19,0
STM0306,39,0
STM0307,157,0
yafV,477,16
yafH,181,38
ghmA,520,226
yafJ,479,51
yafK,676,40
dinP,447,128
prfH,292,59
pepD,3014,529
gpt,483,123
yafA,478,90
crl,468,36
phoE,199,2
proB,775,41
proA,777,260
STM0324,10,0
STM0325,25,4
STM0327,218,9
STM0328,6,3
STM0329,11,5
STM0330,68,6
STM0331,24,0
STM0332,28,11
STM0333,85,7
STM0334,9,0
STM0335,9,0
stbE,25,5
stbD,71,0
stbC,174,5
stbB,3,0
stbA,2,0
STM0341,39,0
STM0342,13,0
STM0343,76,20
STM0344,54,10
STM0345,25,3
STM0346,6,3
STM0347,22,0
STM0348,3,0
STM0349,22,4
STM0350,93,10
STM0351,77,0
STM0352,11,0
STM0353,49,12
STM0354,54,2
STM0355,54,5
STM0356,105,13
mod,476,64
res,1030,203
STM0359,19,0
STM0360,55,17
STM0361,89,14
STM0362,7,0
STM0363,636,118
foxA,239,19
yahN,62,3
yahO,7,0
prpR,49,15
prpB,42,5
prpC,25,3
prpD,31,0
prpE,203,8
hemB,2196,251
yaiU,468,108
yaiV,25,0
ampH,347,4
sbmA,323,44
yaiW,230,15
yaiY,95,2
yaiZ,57,41
ddlA,627,56
STM0381,54,2
STM0382,135,3
yaiB,166,13
psiF,56,0
yaiC,135,1
proC,620,130
yaiI,185,126
aroL,775,99
yaiA,295,12
aroM,657,31
yaiE,316,45
rdgC,768,450
yajF,136,20
araJ,244,80
sbcC,969,110
sbcD,523,14
phoB,450,191
phoR,380,34
brnQ,2393,579
proY,947,120
malZ,208,100
STM0402,2494,653
yajB,178,3
queA,1024,149
tgt,2891,2196
yajC,890,646
secD,3971,1298
secF,2402,1429
STM0409,71,66
STM0410,95,29
yajD,263,74
STM0412,171,3
tsx,570,505
yajI,50,6
ybaD,148,57
ribD,312,115
ribH,32,288
nusB,410,581
thiL,179,334
pgpA,276,139
yajO,466,68
dxs,2333,377
ispA,950,235
xseB,335,10
thiI,3813,706
phnV,548,1
phnU,44,2
phnT,47,6
phnS,66,6
phnR,88,4
phnW,21,0
phnX,54,0
thiJ,284,15
apbA,200,12
yajQ,565,209
yajR,298,17
STM0436A,22,0
STM0437,36,17
STM0438,300,12
cyoE,5355,166
cyoD,1133,25
cyoC,2480,93
cyoB,11616,511
cyoA,8299,288
ampG,934,168
yajG,432,12
bolA,336,12
tig,19578,15623
clpP,2362,239
clpX,6487,3569
lon,3307,4440
hupB,1404,1053
cypD,771,469
ybaV,26,5
ybaW,81,0
ybaX,243,137
ybaE,87,7
cof,222,17
STM0458,119,876
ybaO,284,147
mdlA,607,131
mdlB,458,55
glnK,17,7
amtB,74,17
tesB,378,27
ybaY,289,3
ybaZ,51,9
ylaB,1323,4
rpmE2,54,0
rpmJ2,87,0
ylaC,1779,0
maa,859,15
hha,670,24
ybaJ,1179,2
